Route,Ward,District,Price,Type Of New,Type Of Estate,Owned,Legal,Square,Width,Length,Floors,Bedrooms,Direction,Road,DinningRoom,Kitchen,Terrace,Garage
Đường Trưng Nữ Vương, Phường Hòa Thuận Tây, Quận Hải Châu,3750000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,85,4.3,19.6,1,2,Đông Nam,4.5,Y,Y,,
Đường Vũ Văn Cẩn, Phường Hòa Hải, Quận Ngũ Hành Sơn,4000000000,Cần bán,"Đất thổ cư, đất ở",Y,,106,,,,,,7.5,,,,
Đường Lê Văn Long, Phường Thuận Phước, Quận Hải Châu,6200000000,Cần bán,Nhà mặt tiền,,,70,,,4,4,,8,,,,
Đường Thanh Long, Phường Thanh Bình, Quận Hải Châu,6600000000,Cần bán,Nhà mặt tiền,,,55,,,3,3,,8,,,,
Đường Cẩm Bắc 6, Phường Hòa Thọ Đông, Quận Cẩm Lệ,5600000000,Cần bán,Nhà mặt tiền,,,178,,,2,12,,6,,,,
Đường Ông Ích Khiêm, Phường Thanh Bình, Quận Hải Châu,3000000000,Cần bán,Nhà trong hẻm,,,57,,,2,3,,3,,,,
Đường Tôn Đức Thắng, Phường Hòa Khánh Bắc, Quận Liên Chiểu,10500000000,Cần bán,Nhà mặt tiền,,,127,,,2,2,,30,,,,
Đường Nguyễn Văn Thoại, Phường Mỹ An, Quận Ngũ Hành Sơn,5000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,,5,Y,Y,,
Đường Thanh Sơn, Phường Thanh Bình, Quận Hải Châu,10200000000,Cần bán,Nhà mặt tiền,,,90,,,4,3,,8,,,,
Đường 3/2, Phường Thuận Phước, Quận Hải Châu,16000000000,Cần bán,Nhà mặt tiền,,,125,,,,,,20,,,,
Đường Nguyễn Công Trứ, Phường An Hải Bắc, Quận Sơn Trà,14100000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,120,5,26,,,Tây Nam,10,,,,
Đường Trần Can, Phường An Khê, Quận Thanh Khê,6200000000,Cần bán,Nhà mặt tiền,,,85,,,3,4,,8,,,,
Đường Nguyễn Xuân Nhĩ, Phường Hòa Cường Nam, Quận Hải Châu,4250000000,Cần bán,Nhà mặt tiền,,,56,,,1,1,,8,,,,
Đường Huỳnh Mẫn Đạt, Phường Hòa Cường Bắc, Quận Hải Châu,6100000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,72,4.5,16,2,2,Bắc,12,Y,Y,,
B2-114 Đường Nam Kỳ Khởi Nghĩa, Phường Hòa Hải, Quận Ngũ Hành Sơn,4050000000,Cần bán,"Đất nền, liền kề, đất dự án",,Sổ hồng/ Sổ đỏ,102,6,17,5,,Nam,7.5,,,,
