,Route,Ward,District,Price,Type Of New,Type Of Estate,Owned,Legal,Square,Width,Length,Floors,Bedrooms,Direction,Road,DinningRoom,Kitchen,Terrace,Garage
0,Đường Trưng Nữ Vương, Phường Hòa Thuận Tây, Quận Hải Châu,3750000000.0,Cần bán,Nhà trong hẻm,Missing value,Sổ hồng/ Sổ đỏ,85.0,4.3,19.6,1.0,2.0,Đông Nam,4.5,Y,Y,Missing value,Missing value
1,Đường Vũ Văn Cẩn, Phường Hòa Hải, Quận Ngũ Hành Sơn,4000000000.0,Cần bán,"Đất thổ cư, đất ở",Y,Missing value,106.0,6.1715045871559635,17.175714366413256,2.7620345140781106,4.425570776255708,Missing value,7.5,Missing value,Missing value,Missing value,Missing value
2,Đường Lê Văn Long, Phường Thuận Phước, Quận Hải Châu,6200000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,70.0,6.1715045871559635,11.342452883480453,4.0,4.0,Missing value,8.0,Missing value,Missing value,Missing value,Missing value
3,Đường Thanh Long, Phường Thanh Bình, Quận Hải Châu,6600000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,55.0,6.1715045871559635,8.911927265591784,3.0,3.0,Missing value,8.0,Missing value,Missing value,Missing value,Missing value
4,Đường Cẩm Bắc 6, Phường Hòa Thọ Đông, Quận Cẩm Lệ,5600000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,178.0,6.1715045871559635,28.842237332278867,2.0,12.0,Missing value,6.0,Missing value,Missing value,Missing value,Missing value
5,Đường Ông Ích Khiêm, Phường Thanh Bình, Quận Hải Châu,3000000000.0,Cần bán,Nhà trong hẻm,Missing value,Missing value,57.0,6.1715045871559635,9.23599734797694,2.0,3.0,Missing value,3.0,Missing value,Missing value,Missing value,Missing value
6,Đường Tôn Đức Thắng, Phường Hòa Khánh Bắc, Quận Liên Chiểu,10500000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,127.0,6.1715045871559635,20.578450231457392,2.0,2.0,Missing value,30.0,Missing value,Missing value,Missing value,Missing value
7,Đường Nguyễn Văn Thoại, Phường Mỹ An, Quận Ngũ Hành Sơn,5000000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,100.0,5.0,20.0,2.7620345140781106,4.425570776255708,Missing value,5.0,Y,Y,Missing value,Missing value
8,Đường Thanh Sơn, Phường Thanh Bình, Quận Hải Châu,10200000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,90.0,6.1715045871559635,14.583153707332011,4.0,3.0,Missing value,8.0,Missing value,Missing value,Missing value,Missing value
9,Đường 3/2, Phường Thuận Phước, Quận Hải Châu,16000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,125.0,6.1715045871559635,20.254380149072237,2.7620345140781106,4.425570776255708,Missing value,20.0,Missing value,Missing value,Missing value,Missing value
10,Đường Nguyễn Công Trứ, Phường An Hải Bắc, Quận Sơn Trà,14100000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,120.0,5.0,26.0,2.7620345140781106,4.425570776255708,Tây Nam,10.0,Missing value,Missing value,Missing value,Missing value
11,Đường Trần Can, Phường An Khê, Quận Thanh Khê,6200000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,85.0,6.1715045871559635,13.77297850136912,3.0,4.0,Missing value,8.0,Missing value,Missing value,Missing value,Missing value
12,Đường Nguyễn Xuân Nhĩ, Phường Hòa Cường Nam, Quận Hải Châu,4250000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,56.0,6.1715045871559635,9.073962306784363,1.0,1.0,Missing value,8.0,Missing value,Missing value,Missing value,Missing value
13,Đường Huỳnh Mẫn Đạt, Phường Hòa Cường Bắc, Quận Hải Châu,6100000000.0,Cần bán,Nhà mặt tiền,Missing value,Sổ hồng/ Sổ đỏ,72.0,4.5,16.0,2.0,2.0,Bắc,12.0,Y,Y,Missing value,Missing value
14,B2-114 Đường Nam Kỳ Khởi Nghĩa, Phường Hòa Hải, Quận Ngũ Hành Sơn,4050000000.0,Cần bán,"Đất nền, liền kề, đất dự án",Missing value,Sổ hồng/ Sổ đỏ,102.0,6.0,17.0,5.0,4.425570776255708,Nam,7.5,Missing value,Missing value,Missing value,Missing value
15,Đường Nam Kỳ Khởi Nghĩa, Phường Hòa Hải, Quận Ngũ Hành Sơn,4650000000.0,Cần bán,"Đất nền, liền kề, đất dự án",Missing value,Missing value,180.0,7.5,24.0,2.7620345140781106,4.425570776255708,Missing value,7.5,Missing value,Missing value,Missing value,Missing value
16,Đường Bùi Xương Trạch, Phường Hòa Thọ Đông, Quận Cẩm Lệ,6150000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,125.0,6.1715045871559635,20.254380149072237,3.0,3.0,Missing value,6.0,Missing value,Missing value,Missing value,Missing value
17,Đường Phạm Văn Nghị, Phường Vĩnh Trung, Quận Thanh Khê,11200000000.0,Cần bán,Nhà mặt tiền,Missing value,Sổ hồng/ Sổ đỏ,97.0,4.4,24.6,2.0,4.0,Đông,10.0,Y,Y,Missing value,Missing value
18,Đường Trần Cao Vân, Phường Tam Thuận, Quận Thanh Khê,13500000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,110.0,6.1715045871559635,17.823854531183567,4.0,4.0,Missing value,11.0,Missing value,Missing value,Missing value,Missing value
19,Đường Trần Quý Khoách, Phường Hòa Minh, Quận Liên Chiểu,3720000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Missing value,100.0,6.1715045871559635,16.20350411925779,2.7620345140781106,4.425570776255708,Missing value,6.0,Missing value,Missing value,Missing value,Missing value
20,Đường Nguyễn Duy Trinh, Phường Hòa Hải, Quận Ngũ Hành Sơn,2580000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Missing value,135.0,5.0,27.0,2.7620345140781106,4.425570776255708,Missing value,5.0,Missing value,Missing value,Missing value,Missing value
21,Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê,4300000000.0,Cần bán,Nhà mặt tiền,Missing value,Sổ hồng/ Sổ đỏ,50.0,5.0,10.0,3.0,3.0,Đông,18.0,Y,Y,Y,Y
22,Đường Lê Văn Hiến, Phường Hòa Hải, Quận Ngũ Hành Sơn,9266000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,216.0,10.0,21.6,2.7620345140781106,4.425570776255708,Missing value,7.5,Missing value,Missing value,Missing value,Missing value
23,Đường Kỳ Đồng, Phường Xuân Hà, Quận Thanh Khê,8500000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,100.0,5.0,20.0,2.0,3.0,Missing value,7.5,Missing value,Missing value,Missing value,Missing value
24,Đường Đa Mặn 14, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,5050000000.0,Cần bán,Nhà mặt tiền,Missing value,Sổ hồng/ Sổ đỏ,81.0,5.0,17.0,2.0,3.0,Đông Nam,6.0,Missing value,Missing value,Missing value,Missing value
25,Đường Nguyễn Văn Thoại, Phường Mỹ An, Quận Ngũ Hành Sơn,140000000000.0,Cần bán,"Nhà hàng, khách sạn",Missing value,Missing value,294.0,13.5,20.0,16.0,97.0,Đông Bắc,20.0,Missing value,Missing value,Missing value,Missing value
26,Đường Lý Tế Xuyên, Phường Hòa Xuân, Quận Cẩm Lệ,3240000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,70.0,5.0,14.0,2.7620345140781106,4.425570776255708,Bắc,5.5,Missing value,Missing value,Missing value,Missing value
27,Đường Tôn Thất Thiệp, Phường Mỹ An, Quận Ngũ Hành Sơn,4000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,60.0,4.0,15.0,1.0,2.0,Missing value,3.7,Missing value,Missing value,Missing value,Missing value
28,Hoàng hoa thám Đường Hoàng Hoa Thám, Phường Tân Chính, Quận Thanh Khê,2350000000.0,Cần bán,Nhà trong hẻm,Missing value,Sổ hồng/ Sổ đỏ,42.0,3.0,14.0,2.0,2.0,Đông Nam,3.0,Y,Y,Y,Y
29,Đường Điện Biên Phủ, Phường Thanh Khê Đông, Quận Thanh Khê,2500000000.0,Cần bán,Nhà trong hẻm,Missing value,Sổ hồng/ Sổ đỏ,61.0,9.15,6.666666666666666,2.7620345140781106,1.0,Missing value,3.0,Y,Y,Missing value,Missing value
30,Đường Trưng Nữ Vương, Phường Bình Thuận, Quận Hải Châu,3250000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,90.0,9.0,10.0,3.0,3.0,Missing value,6.0,Missing value,Missing value,Missing value,Missing value
31,Đường Trường Chinh, Phường Hòa Thọ Tây, Quận Cẩm Lệ,1910000000.0,Cần bán,Nhà mặt tiền,Missing value,Sổ hồng/ Sổ đỏ,120.0,5.0,24.0,1.0,2.0,Tây Nam,2.5,Missing value,Missing value,Missing value,Missing value
32,Đường Trần Can, Phường An Khê, Quận Thanh Khê,6200000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,85.0,5.0,17.0,3.0,4.0,Missing value,7.5,Missing value,Missing value,Missing value,Missing value
